"","Company","URL","HQ","VC","CNCI","Description","Rating","",""
"","Xceedium","www.xceedium.com","Jersey City, NJ","Arrowpath, Nationwide","SA","Xceedium is a premier provider of solutions for containment, control and tracking of technical users who manage or work in mission critical infrastructures. Large Fortune 500 and government clients have deployed the Xceedium GateKeeper to balance IT governance requirements with the need for operational efficiency.","3","",""
"","Xsingo systems","www.xsingo.com","Sunnyvale, CA","KPCB","","Xsigo Systems has developed the industry's first hardware-based solution that's purpose-built to virtualize I/O. Xsigo helps IT directors manage infrastructure quickly, precisely, and easily. I/O can be deployed when and where it's needed—in seconds, rather than days or weeks.","","",""
"","Zafesoft","www.zafesoft.com","San Jose, CA","","","Founded in 2006 Zafesoft provides solutions that secure the content in sensitive files, with security that cascades copy and paste iterations, as well as proliferation onto heterogeneous media such as hard drives, server, USB, CD and emails etc., while maintaining a transparent non restrictive user interface with the users. Easy to use, in the background security.","4","",""
"","Arbor Networks","www.arbornetworks.com","Chelmsford, MA","","","The company's Peakflow system is designed to recognize and respond to network threats such as denial of service attacks. Its eSeries products enable network traffic monitoring and routing, among other tasks. Arbor's customers come from industries including financial services, telecommunications, and education. Clients have included Harvard University, Cox Communications, and Comerica. Arbor has international sales offices in Europe and Asia. The company was founded in 2000 and has received funding from Battery Ventures, Thomas Weisel Venture Partners, and Cisco Systems.","","",""
"","Crossbeam","www.crossbeam.com","Boxborough, MA","","","The company's products enhance the security features that Internet data centers offer to their enterprise customers. Its hardware platform enables customers to manage security systems from a single unit by consolidating firewall, virtual private network (VPN), intrusion detection, network gateways, and other functions. Crossbeam also offers network management software. Its customers have included AT&T, GlaxoSmithKline, Baylor University, and H&R Block. Crossbeam was founded in 2000 by former company executive Throop Wilder and other investors.","","",""
"","Bivio Networks","www.bivio.net","Pleasanton, CA","","","The company provides network devices used to consolidate services and manage tasks such as security, routing, and packet processing. The Bivio architecture lets network managers ""shift on the fly"" with different tasks; employing a secure Linux-based operating system, the Bivio device has a number of widely used applications ported to the box. Bivio sells its device to companies that incorporate it into their products, such as computer system manufacturers, network system vendors, software firms, and system integrators. The company was founded in 2000","","",""
"","Verint","ww.verint.com","Melville, NY","","","Verint Systems Inc. (Verint) is a provider of Actionable Intelligence solutions and value-added services. Approximately 10,000 organizations in over 150 countries use Verint solutions to capture, distill, and analyze complex and underused information sources, such as voice, video, and unstructured text. It operates in three segments: Workforce Optimization, Video Intelligence and Communications Intelligence. In Workforce Optimization segment, the Company is a provider of enterprise workforce optimization software and services. In Video Intelligence segment, the Company is a provider of networked IP video solutions designed to optimize security and enhance operations. In Communications Intelligence segment, the Company is a provider of communications intelligence and investigative solutions","public","",""
"","Vobile Inc","www.vobileinc.com","Santa clara, CA","Steamboat","","Vobile Content Identification Platform uses patented breakthrough VideoDNA technology for fast and accurate video and audio content identification. This powerful, scalable platform - backed by the industry’s largest owner-approved content registry - supports a wide range of applications. While all stakeholders in the digital video value-chain benefit from our technology, we currently offer solutions for content owners and online video publishers.","","",""
"","Equinix","www.equinix.com","Foster City, CA","Public","","Today, Equinix, Inc. (Nasdaq: EQIX) operates International Business Exchange™ (IBX®) data centers in 35 markets across 11 countries in North America, Europe, and Asia-Pacific. Global enterprises, content and financial companies, and network services providers rely upon Equinix’s insight and expertise to protect and connect their most valued information assets. The ideas on which we were founded remain just as true today in our mission to ensure the vitality of an ever growing, information-driven world.","Alt to Terremark in Asia, CEO USMA grad","",""
"","Kaggle","www.kaggle.com","Australia, I think","","","Crowd sourcing data analysis - helps identify some of the best quants at modeling and data analysis","","",""
"","Offensive Security","www.offensive-security.com","","","","Training courses on attacks","","",""
"","Splunk","www.splunk.com","San Francisoc, CA","Ignition Partners, August Capital, JK&B Sevin Rosen","","Splunk was born out of our founders' frustration running some of the worlds largest IT infrastructures. Using state-of-the-art IT management tools, they found it nearly impossible to locate the root cause of problems, investigate security attacks and assemble all the data required for compliance audits. Their conclusion was that the silo approach to managing IT with separate tools for every technology and IT function was cumbersome, costly and didn't scale.","","",""
"","Rapid7","www.rapid7.com","Boston, MA","Bain Capital Ventures","","Rapid7 has broken new ground as an industry pioneer within the security market for years, providing the industry's first solution that truly unifies network security, web application security and database security into a single framework. We've been at the forefront of the unified vulnerability management revolution and have the results to prove it. We are the world's fastest growing vulnerability management company with nearly 800% growth over the last 3 years, the 7th fastest security company in the U.S. and a have been recognized with numerous prestigious awards.","No Federal","",""
"","Red Lambda","www.redlambda.com","Longwood, FL","","","Red Lambda, Inc., based in Orlando, Florida, is a leader in grid-based and identity-aware network security software for enterprise, education, government and service provider organizations. The company's lauded AppIron Grid Platform organizes dedicated or unutilized computing resources into a private Cloud with supercomputer capabilities for running its Integrity and FireGrid family of identity-aware Virtual Grid Appliances.","","",""
"","Saint Corporation","www.saintcorporation.com","Bethesda, MD","","","Vunerability Scanning and Penetration Testing","Large DoD and Gov footprint","",""
"","Tenable Network Security","www.tenablesecurity.com","Columbia, MD","","","Today, modern enterprises face a plethora of technical, political and business hurdles that make accurate security and compliance monitoring difficult and costly. Tenable has pioneered and continues to innovate a unique Unified Security Monitoring approach that is revolutionizing the way enterprises are monitoring (i.e., gathering, evaluating, communicating and reporting) security and compliance information. Tenable Network Security is the pioneer and leader of Unified Security Monitoring.","","",""
"","Slimware Utilities","www.slimwareutilities.com","D'Iberville, MS","Private","","SlimWare Utilities is a new, U.S.-based software company founded on the premise that cloud computing and crowd-sourced applications will revolutionize the performance of personal computers. Specifically, we provide consumers with downloadable software and services that clean, repair, update and optimize personal computers.

Our flagship products include SlimComputer, SlimCleaner and SlimDrivers. All use the cloud and crowd-sourcing to gather input from IT professionals and make unique, personalized decisions that improve a consumer’s computer hardware and software configurations.","","",""
"","VSS monitoring","www.vssmonitoring.com","Burlingame, CA","","","VSS Monitoring is the world leader in traffic capture, allowing IT professionals to see into the farthest reaches of even the largest networks, preventing problems from reaching end users, and dramatically reducing the time to achieve a return on investment for network monitoring and security tools. 

Only VSS provides Distributed Traffic Capture, a systems-architecture technology implemented by enterprises, government agencies, and carriers worldwide and singled out by leading market analysts as the best way to achieve: 
•Higher application availability: Up To 120% higher
•Lower labor costs for network management: As Much As 60% Less
•Lower monitoring costs overall: Up To 80% Lower
•Greater end-user protection: Up To 85% Greater*","","",""
"","White Oak Technology","","","","","","","",""
"","SecurityFirst","","","","","","","",""
"","Mark Logic","www.marklogic.com","San Carlos, CA","Sequoia","","MarkLogic Corporation is revolutionizing the way organizations leverage information. Our flagship product is a purpose-built database for unstructured information. Based on patented innovations, MarkLogic Server enables customers in industries including media, government and financial services to develop and deploy information applications at a fraction of the time and cost it takes with conventional approaches.","","",""
